source_file,simulation_id,scan_point,thickness[µm],v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),Voc,Jsc,FF,eta,V_MPP,J_MPP
thickness.iv,1,37,0.5,0.588216,26.3567371,5.5477986,32.6414989,0.349597532,5.04954285,0.128648087,0.0200101316,0.346880279,0.0027172527,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,38,0.5,0.610597,25.8805305,6.00400432,32.6414989,0.440090153,5.41524998,0.128652402,0.0200117841,0.436671822,0.00341833063,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,39,0.5,0.634009,25.1982726,6.66626099,32.6414989,0.575905766,5.94168498,0.128656798,0.0200134472,0.571365008,0.00454075803,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,40,0.5,0.659233,24.1534086,7.69112404,32.6414989,0.781333323,6.76111408,0.128661373,0.0200152666,0.774883786,0.00644953709,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,41,0.5,0.687596,22.4808052,9.34372396,32.6414989,1.09050239,8.10453777,0.128666303,0.020017491,1.08070505,0.00979733909,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,42,0.5,0.721096,19.7808675,12.0236578,32.6414989,1.5443266,10.3306389,0.128671864,0.0200205275,1.52870933,0.0156172626,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,43,0.5,0.762092,15.5816372,16.2028982,32.6414989,2.17542627,13.8787685,0.128678416,0.0200249794,2.1502409,0.0251853706,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,44,0.5,0.812062,9.58762639,22.1768777,32.6414989,2.97776963,19.0503903,0.128686227,0.0200315932,2.9384289,0.0393407374,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,45,0.5,0.869706,2.05882976,29.6854204,32.6414989,3.88021198,25.6564721,0.128695248,0.02004107,3.82280027,0.0574117065,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
thickness.iv,1,46,0.5,0.930241,-6.0481702,37.7729845,32.6414989,4.76057144,32.8636543,0.128704854,0.0200539634,4.68368572,0.0768857227,0.0,0.885225,30.28293492,59.5956,15.9759,0.634009,25.19827259
