source_file,simulation_id,scan_point,band gap[eV],electron affinity[eV],v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),Voc,Jsc,FF,eta,V_MPP,J_MPP
bandGap+ElectronAffinity.iv,1,38,1.2,3.97,0.866322,-25.2643359,59.2798852,34.7682332,0.674351372,58.4524119,0.128996469,0.0241253763,0.655390981,0.0189603917,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,39,1.2,3.97,0.892861,-26.572124,60.567677,34.7682332,0.678354746,59.736116,0.128997383,0.0242088005,0.659246761,0.0191079851,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,40,1.2,3.97,0.916368,-27.2736709,61.2492174,34.7682332,0.680459614,60.4154668,0.12899787,0.0242931096,0.661277363,0.019182251,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,41,1.2,3.97,0.938347,-27.6694495,61.6249953,34.7682332,0.681597378,60.7900229,0.128998133,0.0243769064,0.662373328,0.0192240496,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,42,1.2,3.97,0.959578,-27.9155414,61.851087,34.7682332,0.682277313,61.0153514,0.12899829,0.0244599975,0.6630282,0.0192491129,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,43,1.2,3.97,0.980443,-28.0885935,62.0041389,34.7682332,0.682735464,61.1678635,0.128998397,0.0245414819,0.663469422,0.0192660411,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,44,1.2,3.97,1.001125,-28.2250187,62.120564,34.7682332,0.683082761,61.2838612,0.128998478,0.0246216047,0.663803865,0.0192788964,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,45,1.2,3.97,1.021715,-28.3429392,62.2184845,34.7682332,0.683374048,61.3814107,0.128998546,0.0247011607,0.664084354,0.019289694,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,46,1.2,3.97,1.042251,-28.4502768,62.3058219,34.7682332,0.683633265,61.4684108,0.128998606,0.0247793073,0.664333951,0.0192993134,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
bandGap+ElectronAffinity.iv,1,47,1.2,3.97,1.062755,-28.5510284,62.3865735,34.7682332,0.68387246,61.5488461,0.128998662,0.0248563061,0.664564262,0.0193081982,0.0,0.651845,32.40330991,53.3602,11.2707,0.42848,26.30394737
