source_file,simulation_id,scan_point,band gap[eV],electron affinity[eV],thickness[µm],v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),Voc,Jsc,FF,eta,V_MPP,J_MPP
thickness+bandgap.iv,14,13,1.296,4.266,,0.095266,28.9467343,2.1948782,31.3924751,0.063211007,1.95150398,0.128392148,0.0517710664,0.0629683555,0.000242651476,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,14,1.296,4.266,,0.115664,28.8672813,2.25433108,31.3924751,0.0651644321,2.0089547,0.12839506,0.0518168845,0.0649072894,0.000257142778,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,15,1.296,4.266,,0.136081,28.7838121,2.31780005,31.3924751,0.0672408659,2.07029876,0.128397901,0.0518625244,0.06696833,0.000272535921,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,16,1.296,4.266,,0.15652,28.6959591,2.38565291,31.3924751,0.0694521096,2.13589215,0.128400675,0.0519079794,0.0691632045,0.000288905179,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,17,1.296,4.266,,0.176983,28.6033217,2.45829018,31.3924751,0.07181164,2.20612192,0.128403382,0.0519532409,0.0715053054,0.00030633456,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,18,1.296,4.266,,0.197473,28.5054649,2.53614665,31.3924751,0.0743349771,2.28140734,0.128406025,0.0519982994,0.0740100574,0.000324919706,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,19,1.296,4.266,,0.21799,28.4019187,2.61969269,31.3924751,0.0770401776,2.36220076,0.128408606,0.0520431435,0.0766954073,0.000344770308,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,20,1.296,4.266,,0.238539,28.2921756,2.7094355,31.3924751,0.0799485121,2.4489881,0.128411127,0.0520877595,0.0795824989,0.000366013195,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,21,1.296,4.266,,0.259122,28.1756905,2.80592032,31.3924751,0.0830854202,2.54228918,0.12841359,0.0521321309,0.0826966239,0.000388796347,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,22,1.296,4.266,,0.279741,28.0518784,2.90973218,31.3924751,0.086481898,2.64265805,0.128415999,0.0521762379,0.0860686038,0.000413294186,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,23,1.296,4.266,,0.300399,27.9201111,3.02149919,31.3924751,0.0901765682,2.75068421,0.128418355,0.0522200564,0.0897368536,0.000439714675,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,24,1.296,4.266,,0.321101,27.7797108,3.1418992,31.3924751,0.094218851,2.86699613,0.12842066,0.052263557,0.093750542,0.00046830906,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,25,1.296,4.266,,0.34185,27.6299362,3.27167337,31.3924751,0.0986739283,2.99226982,0.128422918,0.052306704,0.0981745427,0.000499385589,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,26,1.296,4.266,,0.36265,27.4699564,3.41165269,31.3924751,0.103630645,3.12724746,0.128425132,0.0523494535,0.103097316,0.000533329468,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,27,1.296,4.266,,0.383506,27.2988005,3.56280818,31.3924751,0.109214211,3.27277491,0.128427304,0.0523917517,0.108643578,0.000570632953,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,28,1.296,4.266,,0.404424,27.1152652,3.72634304,31.3924751,0.115606663,3.4298734,0.128429439,0.0524335332,0.114994721,0.000611942718,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,29,1.296,4.266,,0.425411,26.9177498,3.9038579,31.3924751,0.123079689,3.59987196,0.128431541,0.0524747183,0.122421551,0.000658137717,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,30,1.296,4.266,,0.44648,26.7039656,4.09764156,31.3924751,0.132046638,3.78464609,0.128433615,0.0525152108,0.131336175,0.000710462917,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,31,1.296,4.266,,0.467648,26.4704313,4.31117526,31.3924751,0.143143647,3.98704105,0.12843567,0.052554896,0.142372879,0.000770768217,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,32,1.296,4.266,,0.488942,26.2116069,4.54999921,31.3924751,0.157353862,4.211614,0.128437714,0.0525936397,0.156511912,0.000841949653,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,33,1.296,4.266,,0.510408,25.9184142,4.82319107,31.3924751,0.176194437,4.46592558,0.128439764,0.0526312891,0.175265652,0.000928784579,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,34,1.296,4.266,,0.532121,25.5757294,5.14587534,31.3924751,0.201993931,4.76277189,0.128441839,0.0526676771,0.200954394,0.00103953703,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,35,1.296,4.266,,0.554209,25.1581563,5.5434479,31.3924751,0.238297218,5.12400407,0.128443976,0.0527026331,0.23710816,0.00118905726,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,36,1.296,4.266,,0.576885,24.6230402,6.05856339,31.3924751,0.290439213,5.58694195,0.128446228,0.0527360025,0.289034503,0.00140471056,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,37,1.296,4.266,,0.600503,23.8993575,6.76224559,31.3924751,0.366303798,6.21472543,0.12844868,0.0527676794,0.364566412,0.0017373864,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,38,1.296,4.266,,0.625642,22.8715085,7.77009423,31.3924751,0.47716802,7.11167708,0.128451473,0.0527976586,0.474887353,0.00228066692,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,39,1.296,4.266,,0.6532,21.360028,9.26157452,31.3924751,0.638198168,8.44209542,0.128454824,0.0528261084,0.634998163,0.00320000413,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,40,1.296,4.266,,0.684447,19.1105932,11.491009,31.3924751,0.867473121,10.4422234,0.128459052,0.0528534624,0.862708278,0.0047648439,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,41,1.296,4.266,,0.720896,15.8207311,14.7608705,31.3924751,1.18159704,13.3979284,0.128464568,0.0528805029,1.17424539,0.00735165516,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,42,1.296,4.266,,0.763775,11.2450253,19.3165317,31.3924751,1.58655484,17.5485967,0.128471807,0.052908369,1.57520202,0.011352822,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,43,1.296,4.266,,0.813107,5.37866457,25.1629001,31.3924751,2.06690536,22.9145754,0.128480936,0.0529384688,2.04995638,0.0169489887,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,44,1.296,4.266,,0.866973,-1.39465535,31.9162695,31.3924751,2.58241358,29.152392,0.128491734,0.0529721558,2.55855697,0.0238566096,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,45,1.296,4.266,,0.921768,-8.35360762,38.8552236,31.3924751,3.07862601,35.5950835,0.128503424,0.0530107286,3.0473377,0.0312883068,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,46,1.296,4.266,,0.973375,-14.6750573,45.1565073,31.3924751,3.50536263,41.469575,0.128514723,0.0530549578,3.4671282,0.0382344296,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,14,47,1.296,4.266,,1.018641,-19.7281478,50.1901513,31.3924751,3.83255138,46.1759703,0.128524355,0.0531052987,3.78866145,0.0438899267,0.0,0.856127,29.27446865,57.263,14.3516,0.600503,23.89935748
thickness+bandgap.iv,15,1,1.296,4.37,,-0.148599,29.719861,1.66182411,31.3924751,0.0549691969,1.42743149,0.127947245,0.0514761709,0.054454988,0.000514208868,0.0,0.778446,29.24380442,51.9804,11.8332,0.502182,23.56356794
thickness+bandgap.iv,15,2,1.296,4.37,,-0.128316,29.66324,1.69844783,31.3924751,0.0564348998,1.46253944,0.127949279,0.0515242087,0.0559024289,0.00053247083,0.0,0.778446,29.24380442,51.9804,11.8332,0.502182,23.56356794
thickness+bandgap.iv,15,3,1.296,4.37,,-0.108022,29.604339,1.73734876,31.3924751,0.0579791018,1.49984629,0.127951303,0.0515720627,0.0574275138,0.00055158803,0.0,0.778446,29.24380442,51.9804,11.8332,0.502182,23.56356794
thickness+bandgap.iv,15,4,1.296,4.37,,-0.087715,29.5429519,1.77873568,31.3924751,0.0596082612,1.53955438,0.127953299,0.0516197446,0.0590366856,0.000571575564,0.0,0.778446,29.24380442,51.9804,11.8332,0.502182,23.56356794
thickness+bandgap.iv,15,5,1.296,4.37,,-0.067394,29.4788483,1.82283897,31.3924751,0.0613292798,1.58188717,0.127955269,0.0516672538,0.0607367923,0.000592487411,0.0,0.778446,29.24380442,51.9804,11.8332,0.502182,23.56356794
thickness+bandgap.iv,15,6,1.296,4.37,,-0.047059,29.4117744,1.86991252,31.3924751,0.0631498232,1.6270909,0.127957214,0.0517145893,0.062535441,0.00061438228,0.0,0.778446,29.24380442,51.9804,11.8332,0.502182,23.56356794
thickness+bandgap.iv,15,7,1.296,4.37,,-0.026707,29.3414509,1.92023587,31.3924751,0.0650784388,1.67543654,0.127959136,0.0517617501,0.0644411146,0.000637324151,0.0,0.778446,29.24380442,51.9804,11.8332,0.502182,23.56356794
thickness+bandgap.iv,15,8,1.296,4.37,,-0.006338,29.2675703,1.97411627,31.3924751,0.0671246982,1.7272218,0.127961037,0.0518087351,0.0664633153,0.000661382932,0.0,0.778446,29.24380442,51.9804,11.8332,0.502182,23.56356794
thickness+bandgap.iv,15,9,1.296,4.37,,0.014051,29.1897984,2.03187761,31.3924751,0.0692985227,1.78276061,0.12796297,0.0518555104,0.0686117579,0.000686764844,0.0,0.778446,29.24380442,51.9804,11.8332,0.502182,23.56356794
thickness+bandgap.iv,15,10,1.296,4.37,,0.034461,29.1077624,2.09391309,31.3924751,0.0716137926,1.84243232,0.127964835,0.0519021406,0.0709004945,0.000713298136,0.0,0.778446,29.24380442,51.9804,11.8332,0.502182,23.56356794
