MAE,MSE,RMSE,R2,MedianAE,MaxAE,MAPE_pct,sMAPE_pct,ExplainedVariance,model,train_rows,test_rows,source_file
0.4373736754136632,0.3555218656410528,0.5962565434786044,0.9396454103942925,0.33149841084083675,1.5724949175992844,3.135203144705054,3.060990483292307,0.9399390029895753,gradient_boosting,60,15,thickness+dielectricPermitivity.iv
0.44418934238096097,0.3782706966634498,0.615037150636813,0.9357834922028737,0.3516686875000872,1.6912330833333193,3.328784389129279,3.214333045983457,0.9397839446070779,extra_trees,60,15,thickness+dielectricPermitivity.iv
0.4809371479148654,0.5279719390063875,0.7266167758911072,0.9103697049839611,0.26041073898809586,2.036131789880958,3.7309019441288283,3.558113870930648,0.9181772127910777,random_forest,60,15,thickness+dielectricPermitivity.iv
0.5522552834597619,0.811365568712988,0.9007583298049416,0.8622598476986075,0.30358003065260775,2.686876445825087,4.366687614597497,4.102361545276747,0.8712914171981165,knn_regression,60,15,thickness+dielectricPermitivity.iv
0.8411849208652692,1.8032387633612577,1.3428472598777783,0.6938761127180446,0.33844593509233434,3.5810584516431945,6.615115043720982,6.1214277601087135,0.7089126494650594,linear_regression,60,15,thickness+dielectricPermitivity.iv
0.8474897408275864,1.8145215328912694,1.3470417710268934,0.6919607117528417,0.37040436445743197,3.5881304159137546,6.6567812927792,6.159256081440682,0.7065040714452716,ridge_regression,60,15,thickness+dielectricPermitivity.iv
0.04354370074617601,0.00283464753824325,0.05324140811664592,0.9194645103720797,0.0571042405970843,0.07240012980603794,0.2470058045035003,0.24746334589904462,0.9733335099910947,support_vector_regression,12,3,thickness.iv
0.05230003190701046,0.0037731969756617935,0.061426354080816106,0.8927992768773518,0.06646094293657612,0.08272233504263582,0.29864705413129616,0.2992654113360814,0.9705120031466657,knn_regression,12,3,thickness.iv
0.06558509781747072,0.005128131208505981,0.07161097128587197,0.8543040881868511,0.07220876547620136,0.09701782470238385,0.37340781491579605,0.37423779688761455,0.9765117904063979,random_forest,12,3,thickness.iv
0.09186868189064275,0.009821875343625162,0.09910537494820935,0.7209495963108441,0.09887769175835359,0.1334882978064762,0.5262449759560833,0.5278708698338267,0.9607352566002981,gradient_boosting,12,3,thickness.iv
0.1954708102182181,0.03991296704057927,0.1997822991172623,-0.13397179005478876,0.18276243412695337,0.25117139603168326,1.1124308892633037,1.1189058375202086,0.9515837883828178,extra_trees,12,3,thickness.iv
0.2154471467526212,0.050728444439656385,0.22522975922301294,-0.44125153335373724,0.24710622145839878,0.27521347129241036,1.232647292335827,1.239422381484174,0.05954562937809105,ridge_regression,12,3,thickness.iv
0.23291357564867235,0.05537478346202901,0.23531847241988677,-0.5732591932464364,0.22796923991326423,0.2762604272334457,1.3304928334841315,1.3356248141100675,-0.2704421438982487,linear_regression,12,3,thickness.iv
